(`muvesz`, `cim`, `keletkezeseve`, `stilus`, `anyag`, `merety`, `meretx`),
('Munkácsy Mihály', 'Rőzsehordó nő', '1873', 'realizmus', 'olaj - fa', '99.7', '80.3'),
('Munkácsy Mihály', 'Ásító inas', '1868', 'biedermeier', 'olaj - fa', '31', '24'),
('Munkácsy Mihály', 'Krisztus Pilátus előtt', '1881', 'akadémikus', 'olaj - vászon', '417', '636'),
('Munkácsy Mihály', 'Ecce Homo', '1896', 'akadémikus', 'olaj - vászon', '403', '650'),
('Munkácsy Mihály', 'Golgota', '1884', 'akadémikus', 'olaj - vászon', '460', '712'),
('Barabás Miklós','A menyasszony érkezése','1856','klaszicizmus','olaj - vászon','127','159'),
('Barabás Miklós','Széchényi István','1836','klaszicizmus','olaj - vászon','31','25'),
('Barabás Miklós','Hölgy portréja','1846','klaszicizmus','olaj - vászon','128','38'),
('Barabás Miklós','Liszt Ferenc','1847','klaszicizmus','olaj - vászon','132','102'),
('Barabás Miklós','Önarckép','1839','klaszicizmus','elefántcsont','9','7.4'),
('Frida Kahlo','Henry Ford Hospital','1932','szürrealizmus','olaj - fém','38.5','31'),
('Frida Kahlo','Frieda and Diego Rivera','1391','szürrealizmus','olaj - vászon','100.01','78.74'),
('Frida Kahlo','A sebesült szarvas','1946','szürrealizmus','olaj - masonit','22.352','30.48'),
('Frida Kahlo','The Two Fridas','1938','szürrealizmus','olaj - vászon','173.5','173'),
('Frida Kahlo','The broken column','1944','szürrealizmus','olaj - masonit','30.5','39'),
('Vincent van Gogh','Csillagos éj','1889','posztimpresszionizmus','olaj - vászon','92.1','73.7'),
('Vincent van Gogh','Koponya égő cigarettával','1886','posztimpreszionizmus (vanitas)','','24.5','32'),
('Vincent van Gogh','Búzamező varjakkal','1889','posztimpresszionizmus','olaj - vászon','50.2','40.5'),
('Vincent van Gogh','The Pink Peach tree','1888','posztimpresszionizmus','olaj - vászon','80.9','60.2'),
('Vincent van Gogh','Quay with men unloading sand barges','1888','posztimpresszionizmus','olaj - vászon','55','66'),
('Pablo Picasso','Bathers','1918','kubizmus','olaj - vászon','26.3','21.7'),
('Pablo Picasso','Don Quixote','1955','kubizmus','olaj - vászon','65','60'),
('Pablo Picasso','Girl in a chemise','1903','kubizmus','olaj - vászon','100','70'),
('Pablo Picasso','The old blind guitarist','1903','kubizmus','olaj - vászon','121.3','82.5'),
('Pablo Picasso','Guernica','1937','kubizmus - szürrealizmus','olaj - vászon','349','776'),
('Claude Monet','Impresszió a felkelő nap','','impresszionizmus','olaj - vászon','48','63'),
('Claude Monet','Japan's','1876','japonizmus','olaj - vászon','142.3','231.8'),
('Claude Monet','Women in the garden','1866','impresszionizmus','olaj - vászon','205','255'),
('Claude Monet','Garden at Sainte-Adresse','1867','impresszionizmus','olaj - vászon','129.9','98.1'),
('Claude Monet','The Hotel des Roches Noires at Trouville','1870','impresszionizmus','1870','58.5','81'),
('Thomas Eakins','Home scene','1871','realizmus','olaj - vászon','45.9','55.1'),
('Thomas Eakins','Street Scene in Sevilla','1870','realizmus','olaj - vászon','106.68','159.38'),
('Thomas Eakins','The Biglin Brothers Racing','1873','realizmus','olaj - vászon','91.75','61.27'),
('Thomas Eakins','The Champion Single Sculls','1871','realizmus','olaj - vászon','117.5','82.6'),
('Thomas Eakins','The Gross Clinic','1875','realizmus','olaj - vászon','198.12','243.84'),
('Caspar David Friedrich','Landscape with rainbow','1810','romantikus','olaj - vászon','59','84.5'),
('Caspar David Friedrich','The Wanderer Above the Sea of Fog','1818','romantikus','olaj - vászon','94.8','74.8'),
('Caspar David Friedrich','The Tree of Crows','1822','romantikus','olaj - vászon','73','59'),
('Caspar David Friedrich','Two Men Contemplating the Moon','1825','romantikus','olaj - vászon','34.9','43.8'),
('Caspar David Friedrich','The Stages of Life','1835','romantikus','olaj - vászon','72.5','94'),
('Francisco Goya','Saturn Devouring One of His Sons','1819','romantikus','olaj - vászon','83','146'),
('Francisco Goya','The Madhouse','1812','romantikus','olaj - vászon','45','72'),
('Francisco Goya','Nude Maja','1800','romantikus','olaj - vászon','98','191'),
('Francisco Goya','The Colossus','1812','romantikus','olaj - vászon','116','105'),
('Francisco Goya','The Clothed Maja','1800','romantikus','olaj - vászon','95','190'),
('Anders Zorn','Love Nymph','1885','akademikus','vízfesték - gouache - papír','06.5','64.5'),
('Anders Zorn','Castles in the Air','1885','impresszionizmus','vízfesték - gouache - papír','37','26'),
('Anders Zorn','Midsummer dance','1903','impresszionizmus','olaj - vászon','117.5','90'),
('Anders Zorn','Isabella Stewart Gardner in Venice','1894', 'impresszionuzmus','olaj - vászon','66','91'),
('Anders Zorn','The Little Brewery','1890','realizmus','olaj - vászon','47.5','78');
